Quantity,LCSC Part Number, Package
"2","C23630","0603"
"1","C57112","0603"
"1","C19666","0603"
"4","C1525","0402"
"3","C13585","1206"
"2","C1547","0402"
"4","C72041","LED_0603"
"2","C82544","SOT-23-3L"
"1","C72044","LED_0603"
"1","C369159","1206"
"1","C1017","0805"
"1","C283540","USB-C-SMD_10P-P1.00-L6.8-W8.9"
"1","",""
"1","",""
"1","",""
"1","",""
"1","C139506"," SMD-5.2x5.4x2.8"
"1","C22966","0603"
"1","C25118","0402"
"1","C25803","0603"
"1","C23231","0603"
"1","C21190","0603"
"2","C22843","0805"
"4","C25989","0603"
"1","C22843","0603"
"1","C25819","0603"
"1","C22809","0603"
"1","C7859","TSSOP-24_4.4x7.8x0.65P"
"1","C7519","SOT-23-6L"
"1","C118825","QFN-48"
"1","C477919","TSOT-23-6"
"1","C13738","SMD-CRY-3225_4P"